generation,best_result0,best_result1,best_result2,best_result3,best_result4,best_result5,best_result6,best_result7,best_result8,best_result9,best_result10,best_result11,best_result12,best_result13,best_result14,best_result15,best_result16,best_result17,best_result18,best_result19,best_result20,best_result21,best_result22,best_result23,best_result24,best_result25,best_result26,best_result27,best_result28,best_result29,best_result30,best_result31,best_result32,best_result33,best_result34,best_result35,best_result36,best_result37,best_result38,best_result39,best_result40,best_result41,best_result42,best_result43,best_result44,best_result45,best_result46,best_result47,best_result48,best_result49,mean_result
0,1443.0,1484.0,1499.0,1525.0,1605.0,1489.0,1414.0,1544.0,1462.0,1442.0,1401.0,1425.0,1517.0,1582.0,1508.0,1518.0,1466.0,1519,1498.0,1502.0,1589.0,1502.0,1494.0,1535.0,1405.0,1586.0,1454.0,1532.0,1495.0,1474.0,1527.0,1489.0,1421.0,1410.0,1513.0,1482.0,1474.0,1516.0,1309.0,1529.0,1478.0,1540.0,1593.0,1500.0,1433.0,1481.0,1510.0,1405.0,1595.0,1532.0,1492.92
1,1443.0,1484.0,1498.0,1400.0,1605.0,1489.0,1414.0,1505.0,1462.0,1442.0,1401.0,1425.0,1517.0,1515.0,1443.0,1518.0,1466.0,1519,1441.0,1495.0,1531.0,1502.0,1494.0,1507.0,1359.0,1554.0,1454.0,1532.0,1427.0,1474.0,1525.0,1442.0,1421.0,1398.0,1471.0,1482.0,1452.0,1516.0,1309.0,1529.0,1478.0,1540.0,1553.0,1500.0,1433.0,1444.0,1510.0,1405.0,1595.0,1531.0,1477.0
2,1433.0,1479.0,1472.0,1400.0,1576.0,1472.0,1358.0,1505.0,1462.0,1442.0,1364.0,1381.0,1457.0,1484.0,1443.0,1363.0,1466.0,1519,1441.0,1443.0,1520.0,1502.0,1494.0,1449.0,1359.0,1347.0,1454.0,1458.0,1329.0,1468.0,1515.0,1439.0,1421.0,1398.0,1467.0,1482.0,1450.0,1405.0,1309.0,1519.0,1472.0,1525.0,1537.0,1454.0,1433.0,1444.0,1420.0,1405.0,1521.0,1501.0,1449.14
3,1412.0,1423.0,1337.0,1397.0,1516.0,1378.0,1358.0,1505.0,1412.0,1442.0,1315.0,1381.0,1442.0,1422.0,1443.0,1363.0,1400.0,1444,1441.0,1436.0,1509.0,1453.0,1432.0,1433.0,1350.0,1330.0,1454.0,1454.0,1329.0,1402.0,1397.0,1426.0,1413.0,1398.0,1446.0,1473.0,1450.0,1394.0,1309.0,1513.0,1416.0,1437.0,1478.0,1374.0,1428.0,1376.0,1382.0,1382.0,1498.0,1410.0,1416.26
4,1412.0,1423.0,1337.0,1395.0,1510.0,1378.0,1311.0,1455.0,1412.0,1426.0,1315.0,1381.0,1359.0,1422.0,1416.0,1363.0,1335.0,1440,1399.0,1408.0,1495.0,1430.0,1419.0,1383.0,1350.0,1329.0,1454.0,1424.0,1325.0,1397.0,1397.0,1401.0,1365.0,1375.0,1376.0,1443.0,1407.0,1358.0,1309.0,1488.0,1416.0,1430.0,1423.0,1374.0,1394.0,1368.0,1369.0,1382.0,1459.0,1410.0,1396.94
5,1381.0,1364.0,1298.0,1355.0,1457.0,1378.0,1311.0,1413.0,1403.0,1386.0,1313.0,1377.0,1359.0,1361.0,1398.0,1363.0,1335.0,1425,1317.0,1408.0,1455.0,1403.0,1395.0,1378.0,1347.0,1322.0,1439.0,1387.0,1301.0,1381.0,1351.0,1387.0,1326.0,1375.0,1376.0,1387.0,1357.0,1354.0,1309.0,1441.0,1409.0,1424.0,1409.0,1365.0,1394.0,1368.0,1336.0,1382.0,1363.0,1330.0,1373.06
6,1372.0,1364.0,1293.0,1355.0,1407.0,1378.0,1311.0,1409.0,1334.0,1386.0,1313.0,1368.0,1352.0,1361.0,1398.0,1363.0,1335.0,1361,1306.0,1356.0,1428.0,1329.0,1376.0,1319.0,1331.0,1317.0,1439.0,1387.0,1301.0,1358.0,1351.0,1384.0,1295.0,1366.0,1319.0,1387.0,1348.0,1341.0,1309.0,1441.0,1357.0,1274.0,1409.0,1359.0,1363.0,1243.0,1327.0,1277.0,1347.0,1330.0,1350.68
7,1276.0,1338.0,1261.0,1338.0,1397.0,1338.0,1311.0,1365.0,1334.0,1359.0,1308.0,1368.0,1347.0,1361.0,1335.0,1354.0,1268.0,1361,1306.0,1335.0,1376.0,1323.0,1376.0,1293.0,1327.0,1276.0,1384.0,1387.0,1273.0,1358.0,1351.0,1339.0,1295.0,1295.0,1319.0,1368.0,1348.0,1341.0,1309.0,1427.0,1357.0,1274.0,1406.0,1341.0,1344.0,1243.0,1317.0,1277.0,1331.0,1319.0,1332.68
8,1269.0,1338.0,1261.0,1321.0,1368.0,1338.0,1305.0,1344.0,1334.0,1357.0,1258.0,1357.0,1321.0,1361.0,1335.0,1326.0,1268.0,1345,1280.0,1335.0,1376.0,1310.0,1328.0,1275.0,1315.0,1271.0,1384.0,1387.0,1273.0,1287.0,1311.0,1339.0,1295.0,1294.0,1314.0,1296.0,1333.0,1323.0,1289.0,1392.0,1351.0,1274.0,1339.0,1309.0,1322.0,1243.0,1311.0,1235.0,1331.0,1319.0,1316.94
9,1257.0,1334.0,1261.0,1294.0,1368.0,1323.0,1288.0,1306.0,1288.0,1345.0,1238.0,1357.0,1321.0,1361.0,1335.0,1303.0,1268.0,1345,1259.0,1249.0,1376.0,1310.0,1328.0,1275.0,1305.0,1267.0,1366.0,1372.0,1273.0,1287.0,1299.0,1339.0,1295.0,1273.0,1235.0,1296.0,1238.0,1319.0,1289.0,1392.0,1319.0,1269.0,1339.0,1307.0,1287.0,1243.0,1311.0,1235.0,1331.0,1307.0,1303.64
