generation,best_result0,best_result1,best_result2,best_result3,best_result4,best_result5,best_result6,best_result7,best_result8,best_result9,best_result10,best_result11,best_result12,best_result13,best_result14,best_result15,best_result16,best_result17,best_result18,best_result19,best_result20,best_result21,best_result22,best_result23,best_result24,best_result25,best_result26,best_result27,best_result28,best_result29,best_result30,best_result31,best_result32,best_result33,best_result34,best_result35,best_result36,best_result37,best_result38,best_result39,best_result40,best_result41,best_result42,best_result43,best_result44,best_result45,best_result46,best_result47,best_result48,best_result49,mean_result
0,243.0,241.0,245.0,241.0,243.0,241.0,242.0,241.0,244.0,243.0,240.0,243.0,240.0,239.0,239.0,243.0,241.0,240.0,242.0,241.0,239.0,241.0,243.0,242.0,242.0,244.0,241.0,241.0,245.0,239.0,242.0,242.0,242.0,242.0,244.0,241.0,242.0,242.0,240.0,241.0,243.0,242.0,243.0,241.0,242.0,244.0,244.0,239.0,240.0,241,241.72
1,243.0,241.0,242.0,240.0,240.0,240.0,242.0,241.0,243.0,242.0,240.0,243.0,240.0,239.0,239.0,242.0,241.0,240.0,242.0,240.0,239.0,239.0,241.0,241.0,242.0,243.0,241.0,241.0,244.0,239.0,239.0,242.0,239.0,240.0,242.0,241.0,242.0,242.0,240.0,241.0,243.0,241.0,243.0,241.0,242.0,241.0,244.0,239.0,240.0,237,240.98
2,241.0,240.0,241.0,240.0,240.0,240.0,242.0,241.0,243.0,241.0,239.0,242.0,239.0,238.0,239.0,240.0,241.0,240.0,239.0,240.0,237.0,239.0,241.0,241.0,242.0,242.0,241.0,241.0,242.0,238.0,239.0,240.0,239.0,239.0,241.0,241.0,241.0,241.0,240.0,241.0,243.0,239.0,243.0,241.0,242.0,241.0,242.0,239.0,240.0,237,240.38
3,240.0,240.0,241.0,240.0,237.0,238.0,242.0,239.0,243.0,241.0,239.0,242.0,238.0,236.0,236.0,240.0,240.0,237.0,239.0,240.0,237.0,239.0,241.0,240.0,242.0,240.0,241.0,239.0,241.0,236.0,239.0,238.0,239.0,239.0,239.0,241.0,241.0,240.0,239.0,241.0,243.0,239.0,242.0,241.0,240.0,240.0,242.0,239.0,237.0,237,239.6
4,239.0,240.0,240.0,240.0,237.0,237.0,241.0,239.0,243.0,241.0,237.0,242.0,237.0,235.0,236.0,238.0,240.0,236.0,239.0,240.0,237.0,239.0,240.0,240.0,239.0,240.0,241.0,238.0,241.0,236.0,239.0,237.0,239.0,239.0,239.0,241.0,241.0,240.0,233.0,240.0,240.0,239.0,241.0,240.0,240.0,240.0,240.0,236.0,237.0,237,238.92
5,238.0,239.0,240.0,238.0,237.0,237.0,239.0,239.0,241.0,241.0,237.0,242.0,228.0,235.0,236.0,238.0,240.0,236.0,237.0,240.0,237.0,238.0,238.0,238.0,239.0,240.0,241.0,237.0,241.0,236.0,239.0,237.0,237.0,239.0,238.0,241.0,239.0,240.0,233.0,240.0,240.0,239.0,241.0,240.0,240.0,236.0,239.0,236.0,236.0,237,238.2
6,237.0,237.0,239.0,238.0,237.0,237.0,239.0,239.0,241.0,238.0,237.0,240.0,228.0,235.0,236.0,238.0,240.0,235.0,237.0,240.0,237.0,238.0,238.0,238.0,239.0,235.0,240.0,234.0,240.0,236.0,239.0,237.0,237.0,238.0,238.0,241.0,239.0,239.0,231.0,240.0,239.0,239.0,241.0,240.0,240.0,236.0,239.0,236.0,236.0,237,237.7
7,236.0,237.0,236.0,238.0,236.0,236.0,239.0,238.0,240.0,238.0,237.0,239.0,228.0,234.0,236.0,238.0,238.0,235.0,237.0,240.0,236.0,238.0,237.0,235.0,239.0,235.0,240.0,234.0,237.0,228.0,239.0,237.0,237.0,238.0,237.0,241.0,238.0,239.0,231.0,240.0,239.0,239.0,241.0,237.0,239.0,236.0,237.0,236.0,236.0,237,236.98
8,235.0,237.0,236.0,238.0,235.0,235.0,238.0,237.0,240.0,238.0,237.0,239.0,228.0,233.0,236.0,237.0,238.0,235.0,237.0,238.0,236.0,237.0,236.0,235.0,239.0,235.0,240.0,234.0,237.0,227.0,237.0,237.0,237.0,237.0,236.0,241.0,237.0,239.0,231.0,240.0,239.0,239.0,240.0,237.0,236.0,236.0,237.0,236.0,236.0,237,236.56
9,234.0,237.0,236.0,237.0,235.0,235.0,238.0,237.0,240.0,238.0,237.0,239.0,228.0,233.0,236.0,237.0,238.0,235.0,236.0,238.0,236.0,233.0,236.0,235.0,239.0,235.0,240.0,234.0,237.0,227.0,237.0,236.0,237.0,236.0,236.0,241.0,237.0,239.0,231.0,240.0,239.0,239.0,240.0,237.0,236.0,236.0,236.0,236.0,236.0,237,236.36
